Weight budget, Fraction width, Average LL, Accuracy
10, 1, -540.9516396513446, 0.9919621749408983
20, 1, -538.5664472865299, 0.9976359338061466
30, 1, -536.4119182616447, 0.9862884160756501
40, 1, -534.3596864061652, 0.9692671394799054
50, 1, -532.366905639045, 0.9654846335697399
60, 1, -530.473754915803, 0.948936170212766
70, 1, -528.712153706456, 0.9437352245862884
80, 1, -527.0258605525081, 0.9442080378250591
90, 1, -525.408628266847, 0.9404255319148936
100, 1, -523.9056223224018, 0.9446808510638298
110, 1, -522.5393280702907, 0.9446808510638298
120, 1, -521.2540238582767, 0.9460992907801419
130, 1, -520.103422628621, 0.9456264775413712
140, 1, -519.0550886934632, 0.9494089834515367
150, 1, -518.0751536226265, 0.9541371158392435
160, 1, -517.1711324497549, 0.9555555555555556
170, 1, -516.3982306092413, 0.9550827423167849
180, 1, -515.7511138500323, 0.9513002364066194
190, 1, -515.1486375107331, 0.9508274231678487
200, 1, -514.5982131373635, 0.9475177304964539
210, 1, -514.1539874421363, 0.9442080378250591
220, 1, -513.7919352555768, 0.9427895981087471
230, 1, -513.4687153185266, 0.9423167848699764
240, 1, -513.206835680182, 0.9427895981087471
250, 1, -512.9892559049329, 0.9437352245862884
260, 1, -512.8226447452861, 0.9390070921985816
270, 1, -512.714106557034, 0.9371158392434988
280, 1, -512.636683637125, 0.9371158392434988
290, 1, -512.6050844833978, 0.9342789598108747
300, 1, -512.6145756852011, 0.9333333333333333
310, 1, -512.661028913532, 0.9361702127659575
320, 1, -512.7398450720218, 0.9356973995271868
330, 1, -512.8685552943489, 0.9342789598108747
340, 1, -513.0236421326879, 0.9356973995271868
350, 1, -513.1994353163421, 0.941371158392435
360, 1, -513.3775301666096, 0.9531914893617022
370, 1, -513.5556253227517, 0.9635933806146572
380, 1, -513.7337204789076, 0.9730496453900709
390, 1, -513.9118156350634, 0.9820330969267139
400, 1, -514.0899107912193, 0.9853427895981087
410, 1, -514.2680059473752, 0.9891252955082742
420, 1, -514.4461011035311, 0.9914893617021276
430, 1, -514.624196259687, 0.9929078014184397
440, 1, -514.8022914158428, 0.9938534278959811
450, 1, -514.9803865719987, 0.9938534278959811
460, 1, -515.1584817281546, 0.9938534278959811
470, 1, -515.3365768843105, 0.9947990543735225
480, 1, -515.5146720404664, 0.9952718676122931
490, 1, -515.6927671966223, 0.9952718676122931
500, 1, -515.8708623527782, 0.9952718676122931
510, 1, -516.0489575089341, 0.9957446808510638
520, 1, -516.22705266509, 0.9952718676122931
530, 1, -516.4051478212459, 0.9938534278959811
540, 1, -516.5832429774018, 0.9938534278959811
550, 1, -516.7613381335577, 0.9929078014184397
560, 1, -516.9394332897136, 0.992434988179669
570, 1, -517.1175284458695, 0.9914893617021276
580, 1, -517.2956236020254, 0.9900709219858156
590, 1, -517.4737187581813, 0.9900709219858156
600, 1, -517.6518139143371, 0.9900709219858156
610, 1, -517.829909070493, 0.9900709219858156
620, 1, -518.008004226649, 0.9895981087470449
630, 1, -518.1860993828049, 0.9895981087470449
640, 1, -518.3641945389608, 0.9895981087470449
650, 1, -518.5422896951167, 0.9895981087470449
660, 1, -518.7203848512726, 0.9895981087470449
670, 1, -518.8984800074286, 0.9895981087470449
680, 1, -519.0765751635845, 0.9895981087470449
690, 1, -519.2546703197404, 0.9895981087470449
700, 1, -519.4327654758963, 0.9895981087470449
