Weight budget, Fraction width, Average LL, Accuracy
10, 1, -540.9516396513446, 0.9919621749408983
20, 1, -538.5664472865299, 0.9976359338061466
30, 1, -536.4119182616447, 0.9862884160756501
40, 1, -534.3596864061652, 0.9692671394799054
50, 1, -532.366905639045, 0.9654846335697399
60, 1, -530.473754915803, 0.948936170212766
70, 1, -528.712153706456, 0.9437352245862884
80, 1, -527.0258605525081, 0.9442080378250591
90, 1, -525.408628266847, 0.9404255319148936
100, 1, -523.9056223224018, 0.9446808510638298
110, 1, -522.5393280702907, 0.9446808510638298
120, 1, -521.2540238582767, 0.9460992907801419
130, 1, -520.103422628621, 0.9456264775413712
140, 1, -519.0550886934632, 0.9494089834515367
150, 1, -518.0751536226265, 0.9541371158392435
160, 1, -517.1711324497549, 0.9555555555555556
170, 1, -516.3982306092413, 0.9550827423167849
180, 1, -515.7511138500323, 0.9513002364066194
190, 1, -515.1486375107331, 0.9508274231678487
200, 1, -514.5982131373635, 0.9475177304964539
210, 1, -514.1539874421363, 0.9442080378250591
220, 1, -513.7919352555768, 0.9427895981087471
230, 1, -513.4687153185266, 0.9423167848699764
240, 1, -513.206835680182, 0.9427895981087471
250, 1, -512.9892559049329, 0.9437352245862884
260, 1, -512.8226447452861, 0.9390070921985816
270, 1, -512.714106557034, 0.9371158392434988
280, 1, -512.636683637125, 0.9371158392434988
290, 1, -512.6050844833978, 0.9342789598108747
300, 1, -512.6043819619064, 0.9328605200945627
310, 1, -512.6043819619064, 0.9328605200945627
320, 1, -512.6043819619064, 0.9328605200945627
330, 1, -512.6043819619064, 0.9328605200945627
340, 1, -512.6043819619064, 0.9328605200945627
350, 1, -512.6043819619064, 0.9328605200945627
360, 1, -512.6043819619064, 0.9328605200945627
370, 1, -512.6043819619064, 0.9328605200945627
380, 1, -512.6043819619064, 0.9328605200945627
390, 1, -512.6043819619064, 0.9328605200945627
400, 1, -512.6043819619064, 0.9328605200945627
410, 1, -512.6043819619064, 0.9328605200945627
420, 1, -512.6043819619064, 0.9328605200945627
430, 1, -512.6043819619064, 0.9328605200945627
440, 1, -512.6043819619064, 0.9328605200945627
450, 1, -512.6043819619064, 0.9328605200945627
460, 1, -512.6043819619064, 0.9328605200945627
470, 1, -512.6043819619064, 0.9328605200945627
480, 1, -512.6043819619064, 0.9328605200945627
490, 1, -512.6043819619064, 0.9328605200945627
500, 1, -512.6043819619064, 0.9328605200945627
