Weight budget, Fraction width, Average LL, Accuracy
10, 1, -540.9516396513446, 0.9919621749408983
10, 2, -540.7374370447926, 0.992434988179669
10, 3, -540.6858273393747, 0.9976359338061466
10, 4, -540.6460884202609, 0.9971631205673759
10, 5, -540.6358970625732, 0.9962174940898345
20, 1, -538.5664472865299, 0.9976359338061466
20, 2, -538.0172304586239, 0.991016548463357
20, 3, -537.8350002271334, 0.9943262411347518
20, 4, -537.7739266355758, 0.9947990543735225
20, 5, -537.7568691633329, 0.9952718676122931
30, 1, -536.4119182616447, 0.9862884160756501
30, 2, -535.4555374490348, 0.9716312056737588
30, 3, -535.2297153033774, 0.9872340425531915
30, 4, -535.1864343512348, 0.9872340425531915
30, 5, -535.1659014593636, 0.9867612293144208
40, 1, -534.3596864061652, 0.9692671394799054
40, 2, -533.0814451877126, 0.9730496453900709
40, 3, -532.8738692253121, 0.9754137115839243
40, 4, -532.820240055274, 0.9739952718676123
40, 5, -532.7824738443005, 0.9791962174940898
50, 1, -532.366905639045, 0.9654846335697399
50, 2, -530.8610235107758, 0.9617021276595744
50, 3, -530.7180035359843, 0.975886524822695
50, 4, -530.623460014477, 0.975886524822695
50, 5, -530.6051352477518, 0.9716312056737588
60, 1, -530.473754915803, 0.948936170212766
60, 2, -528.8481566720324, 0.9716312056737588
60, 3, -528.6951413130922, 0.9697399527186761
60, 4, -528.6172112930655, 0.968321513002364
60, 5, -528.5780261944833, 0.9721040189125295
70, 1, -528.712153706456, 0.9437352245862884
70, 2, -527.0161889226532, 0.968321513002364
70, 3, -526.8246599941873, 0.9654846335697399
70, 4, -526.7501443130066, 0.9659574468085106
70, 5, -526.7032171039965, 0.966903073286052
80, 1, -527.0258605525081, 0.9442080378250591
80, 2, -525.3615000534137, 0.9617021276595744
80, 3, -525.0980143533594, 0.9640661938534278
80, 4, -525.0160806629424, 0.9650118203309692
80, 5, -524.9809590354107, 0.9650118203309692
90, 1, -525.408628266847, 0.9404255319148936
90, 2, -523.819231770261, 0.9583924349881797
90, 3, -523.4968571391458, 0.9654846335697399
90, 4, -523.4077143957761, 0.9621749408983451
90, 5, -523.3780117526201, 0.9598108747044918
100, 1, -523.9056223224018, 0.9446808510638298
100, 2, -522.3595119818251, 0.9574468085106383
100, 3, -522.0290827993509, 0.9598108747044918
100, 4, -521.9254436133801, 0.9588652482269504
100, 5, -521.872511649435, 0.9569739952718677
110, 1, -522.5393280702907, 0.9446808510638298
110, 2, -520.9819524558193, 0.9593380614657211
110, 3, -520.661292028351, 0.9541371158392435
110, 4, -520.5494455703229, 0.9555555555555556
110, 5, -520.495381725602, 0.956501182033097
120, 1, -521.2540238582767, 0.9460992907801419
120, 2, -519.7169668705652, 0.957919621749409
120, 3, -519.3827532070133, 0.9527186761229315
120, 4, -519.2741361821646, 0.9522458628841608
120, 5, -519.2131478524475, 0.9569739952718677
130, 1, -520.103422628621, 0.9456264775413712
130, 2, -518.5385734248933, 0.9527186761229315
130, 3, -518.1968677309993, 0.9498817966903074
