Weight budget, Fraction width, Average LL, Accuracy, KL-Divergence
10, 1, -66.48801030613724, 1.0, 16.690566111621862
10, 2, -66.17746130895767, 1.0, 16.388811990262035
10, 3, -66.12238710197087, 1.0, 16.34519303025887
10, 4, -66.10135516673229, 1.0, 16.32254677110144
10, 5, -66.0929214519765, 1.0, 16.31041535756099
20, 1, -63.512155375720006, 1.0, 13.73877441440018
20, 2, -63.06584167938661, 1.0, 13.317725409597772
20, 3, -63.016851286433145, 1.0, 13.276561834293103
20, 4, -62.98953464953387, 1.0, 13.246699860377069
20, 5, -62.979143674929695, 1.0, 13.23822794489294
30, 1, -60.87130044530279, 1.0, 11.147729967655478
30, 2, -60.481976949533475, 1.0, 10.76565440750735
30, 3, -60.388369521105744, 1.0, 10.665455208941626
30, 4, -60.37132557974076, 1.0, 10.651081447913619
30, 5, -60.3562879117338, 1.0, 10.639809648730973
40, 1, -58.70244551488557, 1.0, 9.050831917108182
40, 2, -58.25925426677579, 1.0, 8.563994790589943
40, 3, -58.17591781742806, 1.0, 8.470635254097449
40, 4, -58.14308528794272, 1.0, 8.436375561008786
40, 5, -58.130227856171615, 1.0, 8.439439553551548
50, 1, -56.865246034167775, 1.0, 7.206647106344231
50, 2, -56.35772025798885, 1.0, 6.657783004950288
50, 3, -56.282909918947915, 1.0, 6.591965638352404
50, 4, -56.248987172450285, 1.0, 6.5913463626237005
50, 5, -56.23717758222513, 1.0, 6.563315192450054
60, 1, -55.284598370016425, 1.0, 5.618124286030366
60, 2, -54.790402734957404, 1.0, 5.154795681169504
60, 3, -54.68455842790182, 1.0, 5.020209402695055
60, 4, -54.65388392787142, 1.0, 4.9896745648040035
60, 5, -54.63821800967898, 1.0, 4.989168887229525
70, 1, -53.963502522431554, 1.0, 4.287722744072362
70, 2, -53.467250572459065, 1.0, 3.8454325922877373
70, 3, -53.35904314212586, 1.0, 3.732164318565243
70, 4, -53.328430447352744, 1.0, 3.7140397717585354
70, 5, -53.31581267960508, 1.0, 3.696518925908106
80, 1, -52.899406674846695, 1.0, 3.2367217952316754
80, 2, -52.36010809799882, 1.0, 2.7740330489221656
80, 3, -52.278385308635684, 1.0, 2.6813474720286363
80, 4, -52.24532881955987, 1.0, 2.645200090281699
80, 5, -52.229184031512524, 1.0, 2.625544933005383
90, 1, -52.03286264382832, 1.0, 2.446397504958728
90, 2, -51.48207831292924, 1.0, 1.9320694481388938
90, 3, -51.418388205548936, 1.0, 1.8433459525153473
90, 4, -51.38287037524879, 1.0, 1.824213878306495
90, 5, -51.36575865712372, 1.0, 1.8025954616744162
100, 1, -51.30640129696093, 1.0, 1.758089246402259
100, 2, -50.85469017480298, 1.0, 1.2976352895424634
100, 3, -50.740550176456, 1.0, 1.21275471964315
100, 4, -50.70528969246777, 1.0, 1.164096734497429
100, 5, -50.689503831503814, 1.0, 1.1413057670938807
110, 1, -50.76138813352707, 1.0, 1.245932466002956
110, 2, -50.361634401053095, 1.0, 0.830082698764215
110, 3, -50.23587845321647, 1.0, 0.7017770716326567
110, 4, -50.20527811365759, 1.0, 0.6943052163284277
110, 5, -50.1898208323078, 1.0, 0.6779143372987773
120, 1, -50.44816049273787, 1.0, 0.9667340941815724
120, 2, -50.00595788936635, 1.0, 0.5138806439286139
120, 3, -49.89119202818941, 1.0, 0.3857933013555476
120, 4, -49.85775522507795, 1.0, 0.37883385928757957
120, 5, -49.83850079240946, 1.0, 0.3437115969533301
130, 1, -50.26349863450311, 1.0, 0.8548274618121892
